capture_id,site,col,row,u,v,distance_m,pred_disp,lolo_scale,lolo_predicted_depth_m,abs_error_m,lolo_abs_rel
site-b-try-03,site-b,8,4,70.6875,37.1875,9.46198129705,88.1281173229,0.00114243885889,9.93236202593,0.470380728874,0.0497127096437
site-b-try-03,site-b,9,4,79.0625,37.1875,12.0251994182,89.1171382666,0.00114243885889,9.82213278995,2.20306662827,0.183204165823
site-b-try-03,site-b,10,4,87.4375,37.1875,13.277765764,92.273840785,0.00114243885889,9.48611609171,3.7916496723,0.285563832025
site-b-try-03,site-b,11,4,95.8125,37.1875,13.810407606,91.8697966337,0.00114243885889,9.52783611141,4.28257149459,0.310097400219
site-b-try-03,site-b,12,4,104.1875,37.1875,15.3256799979,87.5629448891,0.00114243885889,9.99647016239,5.32920983552,0.347730726222
site-b-try-03,site-b,13,4,112.5625,37.1875,17.333056137,79.7142213583,0.00114243885889,10.9807303013,6.3523258357,0.366486197557
site-b-try-03,site-b,14,4,120.9375,37.1875,12.3989099476,83.8771576881,0.00114243885889,10.4357418639,1.96316808368,0.15833392548
site-b-try-03,site-b,15,4,129.3125,37.1875,15.3166472628,84.9557693005,0.00114243885889,10.3032480681,5.0133991947,0.327317010616
site-b-try-03,site-b,0,5,3.6875,45.5625,4.65774442781,160.5988307,0.00114243885889,5.45035329398,0.792608866173,0.170170106681
site-b-try-03,site-b,1,5,12.0625,45.5625,4.29237602399,158.871805191,0.00114243885889,5.50960168711,1.21722566312,0.283578525346
site-b-try-03,site-b,2,5,20.4375,45.5625,4.11346712285,156.669229507,0.00114243885889,5.58705987555,1.4735927527,0.358236180985
site-b-try-03,site-b,3,5,28.8125,45.5625,3.60058784113,154.780528784,0.00114243885889,5.65523566041,2.05464781928,0.570642325625
site-b-try-03,site-b,4,5,37.1875,45.5625,3.99967047249,154.07305932,0.00114243885889,5.68120325367,1.68153278119,0.420417830107
site-b-try-03,site-b,5,5,45.5625,45.5625,4.06218675264,154.245581865,0.00114243885889,5.67484886977,1.61266211713,0.39699359368
site-b-try-03,site-b,6,5,53.9375,45.5625,4.23727893364,154.825034142,0.00114243885889,5.65361002998,1.41633109634,0.334254864623
site-b-try-03,site-b,7,5,62.3125,45.5625,4.08852958666,156.694535017,0.00114243885889,5.58615758884,1.49762800218,0.366299905732
site-b-try-03,site-b,8,5,70.6875,45.5625,4.43632620208,158.71839571,0.00114243885889,5.51492700011,1.07860079802,0.243129280601
site-b-try-03,site-b,9,5,79.0625,45.5625,4.97843040863,162.460199356,0.00114243885889,5.38790651116,0.409476102531,0.0822500404587
site-b-try-03,site-b,10,5,87.4375,45.5625,5.96465100174,164.91489625,0.00114243885889,5.30770952667,0.656941475069,0.1101391305
site-b-try-03,site-b,11,5,95.8125,45.5625,5.75248616238,167.92676425,0.00114243885889,5.2125125487,0.539973613675,0.0938678683326
site-b-try-03,site-b,12,5,104.1875,45.5625,4.37547123999,160.722302914,0.00114243885889,5.44616615147,1.07069491148,0.244703907933
site-b-try-03,site-b,13,5,112.5625,45.5625,4.31641434692,159.496676207,0.00114243885889,5.4880163445,1.17160199758,0.271429455891
site-b-try-03,site-b,14,5,120.9375,45.5625,4.31740279769,160.834642172,0.00114243885889,5.44236213104,1.12495933334,0.260563905213
site-b-try-03,site-b,15,5,129.3125,45.5625,6.02653016267,166.821924925,0.00114243885889,5.24703432303,0.779495839641,0.129344053477
site-b-try-03,site-b,0,6,3.6875,53.9375,3.3601627821,216.608046532,0.00114243885889,4.04103347004,0.680870687937,0.202630268856
site-b-try-03,site-b,1,6,12.0625,53.9375,3.2549823966,215.787718534,0.00114243885889,4.0563956645,0.801413267896,0.24621124487
site-b-try-03,site-b,2,6,20.4375,53.9375,3.07908026649,214.411040068,0.00114243885889,4.0824407439,1.00336047742,0.325863696487
