capture_id,site,col,row,u,v,status,distance_m,pred_disp,in_metric_range
site-a-try-03,site-a,8,6,70.6875,53.9375,hit,13.568054224,126.920044661,1
site-a-try-03,site-a,9,6,79.0625,53.9375,hit,10.9981605893,124.36006093,1
site-a-try-03,site-a,10,6,87.4375,53.9375,hit,13.6660827547,112.309420705,1
site-a-try-03,site-a,11,6,95.8125,53.9375,hit,13.7254665231,111.002465248,1
site-a-try-03,site-a,12,6,104.1875,53.9375,hit,13.7384952117,111.208205223,1
site-a-try-03,site-a,13,6,112.5625,53.9375,hit,13.838697218,109.946904302,1
site-a-try-03,site-a,14,6,120.9375,53.9375,hit,14.0099786582,104.432285905,1
site-a-try-03,site-a,15,6,129.3125,53.9375,hit,14.1635154787,97.3262740374,1
site-a-try-03,site-a,0,7,3.6875,62.3125,hit,11.8994280269,111.384574533,1
site-a-try-03,site-a,1,7,12.0625,62.3125,hit,11.9040490707,110.08276844,1
site-a-try-03,site-a,2,7,20.4375,62.3125,hit,11.9083719013,110.983200669,1
site-a-try-03,site-a,3,7,28.8125,62.3125,hit,11.9118075427,112.177933455,1
site-a-try-03,site-a,4,7,37.1875,62.3125,hit,11.9137482959,113.4828825,1
site-a-try-03,site-a,5,7,45.5625,62.3125,hit,11.9138680364,114.737200737,1
site-a-try-03,site-a,6,7,53.9375,62.3125,hit,11.9121705463,115.520551205,1
site-a-try-03,site-a,7,7,62.3125,62.3125,hit,11.9089728714,116.338513374,1
site-a-try-03,site-a,8,7,70.6875,62.3125,hit,11.9047517082,116.976670146,1
site-a-try-03,site-a,9,7,79.0625,62.3125,hit,11.9001366877,116.636391759,1
site-a-try-03,site-a,10,7,87.4375,62.3125,hit,11.8957717085,117.586117864,1
site-a-try-03,site-a,11,7,95.8125,62.3125,hit,11.892437708,117.418451667,1
site-a-try-03,site-a,12,7,104.1875,62.3125,hit,11.8905376419,117.092486143,1
site-a-try-03,site-a,13,7,112.5625,62.3125,hit,11.8903711911,116.192242622,1
site-a-try-03,site-a,14,7,120.9375,62.3125,hit,11.8963259926,114.717982888,1
site-a-try-03,site-a,15,7,129.3125,62.3125,hit,11.8951880557,112.947019815,1
site-a-try-04,site-a,0,0,3.6875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,1,0,12.0625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,2,0,20.4375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,3,0,28.8125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,4,0,37.1875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,5,0,45.5625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,6,0,53.9375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,7,0,62.3125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,8,0,70.6875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,9,0,79.0625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,10,0,87.4375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,11,0,95.8125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,12,0,104.1875,3.6875,pole_excluded,,,0
site-a-try-04,site-a,13,0,112.5625,3.6875,pole_excluded,,,0
site-a-try-04,site-a,14,0,120.9375,3.6875,pole_excluded,,,0
site-a-try-04,site-a,15,0,129.3125,3.6875,pole_excluded,,,0
site-a-try-04,site-a,0,1,3.6875,12.0625,no_hit,,,0
site-a-try-04,site-a,1,1,12.0625,12.0625,no_hit,,,0
site-a-try-04,site-a,2,1,20.4375,12.0625,no_hit,,,0
site-a-try-04,site-a,3,1,28.8125,12.0625,hit,34.7792316576,62.2445610166,0
site-a-try-04,site-a,4,1,37.1875,12.0625,hit,36.707217097,61.0728112459,0
site-a-try-04,site-a,5,1,45.5625,12.0625,hit,29.6248221437,60.9403447509,0
site-a-try-04,site-a,6,1,53.9375,12.0625,hit,19.4835913337,70.0616859198,1
site-a-try-04,site-a,7,1,62.3125,12.0625,hit,12.8266157998,114.528177261,1
site-a-try-04,site-a,8,1,70.6875,12.0625,hit,11.9280813691,122.675127029,1
site-a-try-04,site-a,9,1,79.0625,12.0625,no_hit,,,0
site-a-try-04,site-a,10,1,87.4375,12.0625,hit,16.2004449294,79.1516741514,1
site-a-try-04,site-a,11,1,95.8125,12.0625,hit,19.0693961771,65.439776063,1
site-a-try-04,site-a,12,1,104.1875,12.0625,hit,41.4096196086,59.3720855713,0
site-a-try-04,site-a,13,1,112.5625,12.0625,hit,41.0431712464,57.0815538764,0
site-a-try-04,site-a,14,1,120.9375,12.0625,no_hit,,,0
site-a-try-04,site-a,15,1,129.3125,12.0625,no_hit,,,0
site-a-try-04,site-a,0,2,3.6875,20.4375,no_hit,,,0
site-a-try-04,site-a,1,2,12.0625,20.4375,no_hit,,,0
site-a-try-04,site-a,2,2,20.4375,20.4375,no_hit,,,0
site-a-try-04,site-a,3,2,28.8125,20.4375,hit,23.1807491018,80.9781934023,0
site-a-try-04,site-a,4,2,37.1875,20.4375,hit,24.433695792,79.1340719461,0
site-a-try-04,site-a,5,2,45.5625,20.4375,hit,19.75518774,79.5699068308,1
site-a-try-04,site-a,6,2,53.9375,20.4375,hit,12.9722224292,112.587086797,1
site-a-try-04,site-a,7,2,62.3125,20.4375,hit,8.57007418109,137.757483721,1
site-a-try-04,site-a,8,2,70.6875,20.4375,hit,7.97284916369,148.031488657,1
site-a-try-04,site-a,9,2,79.0625,20.4375,hit,77.9622487269,38.9982239008,0
site-a-try-04,site-a,10,2,87.4375,20.4375,hit,10.7349650426,98.9965535402,1
site-a-try-04,site-a,11,2,95.8125,20.4375,hit,12.6745445019,94.09851408,1
site-a-try-04,site-a,12,2,104.1875,20.4375,hit,28.1636346708,76.4675319195,0
site-a-try-04,site-a,13,2,112.5625,20.4375,hit,27.4445559126,72.9206143618,0
site-a-try-04,site-a,14,2,120.9375,20.4375,no_hit,,,0
site-a-try-04,site-a,15,2,129.3125,20.4375,no_hit,,,0
site-a-try-04,site-a,0,3,3.6875,28.8125,no_hit,,,0
site-a-try-04,site-a,1,3,12.0625,28.8125,no_hit,,,0
site-a-try-04,site-a,2,3,20.4375,28.8125,no_hit,,,0
site-a-try-04,site-a,3,3,28.8125,28.8125,hit,19.6270832483,88.7035698891,1
site-a-try-04,site-a,4,3,37.1875,28.8125,hit,20.6704847422,88.4603602886,0
site-a-try-04,site-a,5,3,45.5625,28.8125,hit,16.7078096006,88.9477998018,1
site-a-try-04,site-a,6,3,53.9375,28.8125,hit,10.9951767836,120.201216102,1
site-a-try-04,site-a,7,3,62.3125,28.8125,hit,7.31305472881,146.331655025,1
site-a-try-04,site-a,8,3,70.6875,28.8125,hit,6.79685314124,157.447901487,1
site-a-try-04,site-a,9,3,79.0625,28.8125,hit,66.1529693456,48.2446516156,0
site-a-try-04,site-a,10,3,87.4375,28.8125,hit,9.245064755,107.134798646,1
site-a-try-04,site-a,11,3,95.8125,28.8125,hit,10.7496611199,102.508900762,1
site-a-try-04,site-a,12,3,104.1875,28.8125,hit,23.9079312843,85.7593040466,0
site-a-try-04,site-a,13,3,112.5625,28.8125,hit,23.289913035,82.5382958651,0
site-a-try-04,site-a,14,3,120.9375,28.8125,no_hit,,,0
site-a-try-04,site-a,15,3,129.3125,28.8125,no_hit,,,0
site-a-try-04,site-a,0,4,3.6875,37.1875,hit,21.1600038619,51.6875500083,0
site-a-try-04,site-a,1,4,12.0625,37.1875,hit,21.3615103959,53.2168519497,0
site-a-try-04,site-a,2,4,20.4375,37.1875,hit,25.1731625831,51.7710054517,0
site-a-try-04,site-a,3,4,28.8125,37.1875,hit,19.6273980526,89.8906236887,1
site-a-try-04,site-a,4,4,37.1875,37.1875,hit,20.6707347853,90.6194205284,0
site-a-try-04,site-a,5,4,45.5625,37.1875,hit,16.7917264862,91.2709480524,1
site-a-try-04,site-a,6,4,53.9375,37.1875,hit,11.0367571748,120.63710165,1
site-a-try-04,site-a,7,4,62.3125,37.1875,hit,7.35455150412,146.642341137,1
site-a-try-04,site-a,8,4,70.6875,37.1875,hit,6.82879831315,156.702089787,1
site-a-try-04,site-a,9,4,79.0625,37.1875,hit,32.9265415718,54.2389491796,0
site-a-try-04,site-a,10,4,87.4375,37.1875,hit,9.22030645248,107.235652089,1
site-a-try-04,site-a,11,4,95.8125,37.1875,hit,10.7977196938,103.68056035,1
site-a-try-04,site-a,12,4,104.1875,37.1875,hit,23.8827309244,89.067886591,0
